"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","Malcolm Brogdon",3200,"Chi@Mil 08:00PM ET",16.609,"Mil"
"SG/SF","Tony Snell",3200,"Chi@Mil 08:00PM ET",16.716,"Mil"
"SG","Buddy Hield",3200,"Ind@NO 08:00PM ET",13.356,"NO"
"SF","Doug McDermott",3100,"Chi@Mil 08:00PM ET",15.917,"Chi"
"PF","Mirza Teletovic",3100,"Chi@Mil 08:00PM ET",13.600,"Mil"
"C","Zaza Pachulia",3100,"NY@GS 10:30PM ET",16.848,"GS"
"C","Al Jefferson",3100,"Ind@NO 08:00PM ET",15.048,"Ind"
"C","Dewayne Dedmon",3100,"SA@Pho 09:00PM ET",15.026,"SA"
"PG","Jason Terry",3000,"Chi@Mil 08:00PM ET",7.458,"Mil"
"PG","Michael Carter-Williams",3000,"Chi@Mil 08:00PM ET",13.583,"Chi"
"SG","Isaiah Canaan",3000,"Chi@Mil 08:00PM ET",12.467,"Chi"
"SG","Khris Middleton",3000,"Chi@Mil 08:00PM ET",0,"Mil"
"SG","R.J. Hunter",3000,"Chi@Mil 08:00PM ET",0.417,"Chi"
"SG","Rashad Vaughn",3000,"Chi@Mil 08:00PM ET",8.000,"Mil"
"SF","Steve Novak",3000,"Chi@Mil 08:00PM ET",0.625,"Mil"
"SF","Denzel Valentine",3000,"Chi@Mil 08:00PM ET",5.309,"Chi"
"SF","Paul Zipser",3000,"Chi@Mil 08:00PM ET",2.458,"Chi"
"PF","Bobby Portis",3000,"Chi@Mil 08:00PM ET",9.708,"Chi"
"PF","Thon Maker",3000,"Chi@Mil 08:00PM ET",4.281,"Mil"
"C","Miles Plumlee",3000,"Chi@Mil 08:00PM ET",7.556,"Mil"
"C","Cristiano Felicio",3000,"Chi@Mil 08:00PM ET",9.281,"Chi"
"PG","Shabazz Napier",3000,"Por@Den 09:00PM ET",5.817,"Por"
"PG","Tim Quarterman",3000,"Por@Den 09:00PM ET",4.000,"Por"
"PG","Malik Beasley",3000,"Por@Den 09:00PM ET",4.611,"Den"
"SG","Mike Miller",3000,"Por@Den 09:00PM ET",5.250,"Den"
"SF","Alonzo Gee",3000,"Por@Den 09:00PM ET",3.938,"Den"
"SF","Pat Connaughton",3000,"Por@Den 09:00PM ET",3.200,"Por"
"PF","Darrell Arthur",3000,"Por@Den 09:00PM ET",10.292,"Den"
"PF","Meyers Leonard",3000,"Por@Den 09:00PM ET",12.090,"Por"
"PF","Jake Layman",3000,"Por@Den 09:00PM ET",5.517,"Por"
"PF","Noah Vonleh",3000,"Por@Den 09:00PM ET",8.143,"Por"
"PF","Juancho Hernangomez",3000,"Por@Den 09:00PM ET",9.163,"Den"
"C","Festus Ezeli",3000,"Por@Den 09:00PM ET",0,"Por"
